plant_type,soil_type,pot_size,growth_stage,moisture,temperature,humidity,light,sunlight_hours,time_since_last_water,watering_frequency,water_needed,health_score
Spider Plant,clay,large,mature,50.9,31.9,81.0,430.8,5.1,2.1,2,0,98.4
Spider Plant,loamy,small,young,36.0,36.1,93.7,498.9,7.0,6.0,2,1,89.3
Areca Palm,sandy,small,young,45.3,23.7,39.8,585.4,4.8,30.4,3,0,100.0
Areca Palm,sandy,large,mature,40.7,16.2,91.6,495.5,6.3,54.3,2,0,94.5
Aloe Vera,sandy,large,seedling,7.3,20.5,58.1,879.0,9.8,18.4,1,1,98.7
Jade Plant,loamy,large,mature,33.0,17.6,82.4,307.7,6.4,22.5,1,0,76.8
Spider Plant,clay,large,seedling,38.9,16.7,73.3,780.9,7.5,49.3,1,0,83.1
Jade Plant,sandy,medium,mature,15.7,24.9,50.9,1109.7,7.4,59.2,1,0,96.1
Peace Lily,loamy,medium,mature,64.1,18.5,69.45288387355903,461.5,5.2,34.8,5,0,99.4
Jade Plant,clay,medium,seedling,30.1,34.1,31.1,439.4,7.0,43.9,1,1,88.8
Money Plant,clay,medium,seedling,44.7,26.2,49.8,510.4,6.6,19.9,3,0,95.1
Aloe Vera,sandy,small,mature,9.3,24.3,63.9,1027.1,7.9,32.3,1,1,95.2
Monstera,sandy,medium,mature,58.0,20.6,78.58226759010188,249.2,3.7,23.8,5,0,100.0
Monstera,clay,medium,seedling,48.2,17.8,93.28071461377021,357.5,4.8,53.2,5,1,62.8
Jade Plant,loamy,large,young,11.8,37.6,83.3,781.4,7.4,51.0,1,1,56.3
Money Plant,sandy,large,young,68.5,31.0,33.8,303.7,4.3,20.5,3,0,99.8
Peace Lily,sandy,small,young,76.9,36.6,77.21112961018738,505.9,4.3,10.9,4,0,93.1
Monstera,sandy,small,seedling,66.0,27.8,67.8990497972762,435.2,4.1,31.9,5,0,100.0
Spider Plant,clay,large,mature,18.8,16.4,92.2,758.8,7.1,5.8,1,1,87.4
Fern,sandy,small,seedling,60.9,24.4,73.3,510.9,4.8,32.7,3,0,100.0
Monstera,loamy,large,mature,49.4,33.5,82.66721531908682,548.0,5.6,5.1,3,1,96.7
Monstera,loamy,large,mature,62.3,36.2,84.49067897415011,450.1,5.8,35.6,4,0,85.8
Money Plant,clay,large,young,42.5,28.9,26.8,472.6,6.5,68.5,4,0,100.0
Monstera,loamy,small,seedling,77.5,25.8,94.89309162263973,262.8,3.7,69.8,3,0,99.7
Spider Plant,clay,medium,mature,29.7,17.4,36.3,583.6,5.4,58.6,2,0,90.5
Areca Palm,sandy,medium,young,46.5,22.4,92.9,300.3,6.5,62.6,4,0,99.6
Money Plant,sandy,large,young,48.7,29.3,59.9,464.8,4.6,66.8,2,0,99.4
Areca Palm,sandy,small,mature,39.9,29.0,41.8,422.4,4.0,16.2,4,1,100.0
Snake Plant,clay,small,mature,42.4,34.1,59.9,444.7,6.1,34.0,2,1,99.6
Tulsi,clay,small,mature,68.7,26.7,86.6,556.3,6.3,24.5,3,0,100.0
Monstera,sandy,medium,mature,83.2,21.9,90.2841208145085,196.9,3.8,23.9,4,0,100.0
Spider Plant,clay,medium,seedling,28.8,37.6,41.7,523.4,4.2,50.8,2,1,68.1
Spider Plant,loamy,large,seedling,33.8,26.4,27.6,1124.5,8.3,31.7,2,0,100.0
Areca Palm,sandy,large,seedling,38.5,24.4,70.8,379.5,6.3,44.9,3,1,99.0
Snake Plant,clay,large,mature,43.6,23.7,47.2,621.5,8.4,4.9,2,0,100.0
Monstera,sandy,large,seedling,70.2,25.0,75.5287493081597,571.0,4.8,3.3,3,0,100.0
Monstera,clay,medium,young,66.3,18.3,65.9494277173834,274.2,2.3,44.6,3,0,97.4
Jade Plant,sandy,small,young,23.1,29.7,57.2,879.2,9.6,20.7,1,0,100.0
Snake Plant,clay,medium,mature,41.8,21.9,92.3,719.5,8.2,27.7,2,0,99.8
Aloe Vera,clay,large,young,13.4,28.2,94.5,994.9,9.9,19.8,1,0,85.7
Money Plant,loamy,large,young,64.2,34.2,88.2,405.7,5.8,45.8,2,0,100.0
Tulsi,loamy,small,mature,48.7,29.9,46.6,339.4,5.1,65.5,4,0,98.3
Spider Plant,sandy,small,seedling,24.3,33.1,86.4,754.2,8.2,59.4,2,1,74.8
Monstera,loamy,medium,seedling,71.7,25.8,90.10492089145876,594.0,4.9,69.6,3,0,100.0
Peace Lily,sandy,medium,seedling,54.7,21.1,83.53192790728546,546.7,4.3,67.7,5,1,81.1
Aloe Vera,clay,small,mature,30.3,35.3,64.3,319.0,6.9,59.3,1,1,79.1
Monstera,loamy,medium,seedling,55.8,18.2,91.2,207.5,2.9,28.0,4,0,88.7
Fern,clay,large,mature,70.0,31.7,87.0,383.9,5.8,49.7,4,0,97.2
Areca Palm,sandy,medium,seedling,70.0,37.6,50.7,419.4,5.1,13.7,4,0,76.2
Areca Palm,sandy,large,seedling,33.4,29.8,66.8,337.8,4.7,40.6,3,1,85.7
Fern,sandy,large,seedling,75.4,33.7,60.099244301800574,343.4,5.4,9.4,5,0,87.5
Tulsi,sandy,large,seedling,66.3,18.0,50.1,352.3,5.0,3.8,4,0,92.4
Fern,sandy,large,seedling,62.4,26.0,79.5,223.0,2.9,52.4,3,0,100.0
Fern,clay,medium,mature,63.2,37.2,74.91957667479971,242.5,2.4,31.9,4,0,94.0
Peace Lily,loamy,small,seedling,66.5,17.9,71.38149051615338,459.2,6.0,32.7,5,0,81.1
Snake Plant,loamy,small,mature,42.0,30.0,78.8,566.4,6.2,29.8,1,0,100.0
Spider Plant,clay,large,seedling,25.0,22.2,46.9,884.6,7.4,6.6,1,0,95.9
Spider Plant,sandy,large,mature,13.6,23.6,34.1,846.5,7.4,62.9,2,1,89.4
Spider Plant,loamy,small,young,34.5,28.8,49.6,444.7,4.8,61.0,1,0,98.5
Fern,clay,small,young,76.4,28.2,81.5,307.9,4.6,66.9,5,0,100.0
Monstera,sandy,small,young,58.1,31.2,66.3491945374399,231.5,2.6,5.0,3,0,100.0
Money Plant,sandy,large,mature,44.6,19.9,54.4,397.3,4.9,67.8,3,0,100.0
Money Plant,sandy,small,mature,51.0,16.1,30.7,432.6,5.5,19.7,3,0,92.5
Snake Plant,clay,medium,seedling,33.2,21.5,72.5,418.6,4.2,43.2,2,0,95.1
Monstera,sandy,small,young,61.7,21.7,66.14931806565448,240.7,3.5,36.0,4,0,100.0
Peace Lily,sandy,medium,mature,79.6,16.0,80.15157062578909,512.8,4.3,30.1,4,0,86.2
Money Plant,clay,small,mature,47.9,25.6,73.3,373.0,6.5,42.4,3,0,100.0
Spider Plant,clay,large,young,16.7,20.1,79.5,358.2,6.7,55.9,1,1,83.5
Tulsi,sandy,small,seedling,37.0,20.9,37.1,585.4,4.2,45.2,4,1,99.6
Jade Plant,loamy,medium,mature,21.8,36.3,64.5,1118.5,8.5,45.2,1,1,86.5
Snake Plant,clay,medium,mature,17.1,22.0,44.2,435.6,5.6,4.1,1,1,100.0
Snake Plant,loamy,small,mature,35.4,28.7,51.9,542.9,6.2,46.9,1,0,98.2
Areca Palm,loamy,small,seedling,68.3,25.4,81.8,493.8,4.3,2.8,4,0,100.0
Areca Palm,loamy,large,mature,46.2,18.7,51.1,503.7,6.3,3.8,3,0,100.0
Peace Lily,sandy,medium,seedling,54.6,27.8,93.75435100288685,345.1,4.4,5.9,5,1,100.0
Peace Lily,clay,large,mature,71.9,30.2,70.83536605955864,258.3,3.5,58.5,3,0,100.0
Fern,sandy,large,mature,58.7,24.7,93.2909259758647,253.2,3.4,13.8,3,0,100.0
Tulsi,sandy,medium,seedling,60.4,26.7,62.8,401.0,4.1,55.2,4,0,96.3
Spider Plant,sandy,small,seedling,45.0,34.1,79.0,626.2,7.6,26.2,1,0,92.2
Areca Palm,loamy,medium,mature,42.1,33.0,41.4,358.2,6.7,48.8,3,0,100.0
Areca Palm,clay,medium,young,40.9,26.6,54.3,341.5,6.4,18.0,2,0,100.0
Peace Lily,loamy,small,mature,54.5,34.5,84.6,344.2,5.6,31.5,3,1,100.0
Aloe Vera,clay,medium,seedling,15.7,24.5,52.8,649.0,7.5,16.2,1,0,98.2
Snake Plant,loamy,large,young,24.4,33.2,34.6,683.3,7.5,50.8,2,1,84.5
Money Plant,sandy,small,young,70.7,20.0,35.5,333.4,5.6,20.7,4,0,98.0
Money Plant,sandy,medium,mature,36.7,33.3,57.0,304.9,5.8,37.1,3,1,97.4
Tulsi,clay,medium,seedling,50.9,29.1,41.8,457.0,6.0,26.0,4,0,94.5
Fern,loamy,large,mature,44.5,15.5,94.3363797893046,103.2,3.0,56.8,4,1,73.4
Snake Plant,loamy,large,young,25.7,18.1,49.7,1010.8,8.2,70.6,1,0,99.8
Tulsi,sandy,small,mature,44.7,32.9,57.0,565.7,6.4,22.7,2,0,98.1
Spider Plant,loamy,medium,young,26.0,15.8,70.3,799.2,8.3,9.0,1,0,88.7
Spider Plant,loamy,medium,young,39.8,22.8,38.1,911.6,8.6,57.7,2,0,100.0
Snake Plant,clay,large,seedling,17.5,27.5,47.5,480.8,5.5,30.7,2,1,100.0
Peace Lily,clay,small,mature,83.2,35.0,82.38142586723681,317.2,5.2,48.3,4,0,99.1
Fern,loamy,large,seedling,68.2,36.9,61.21796380294897,255.7,2.3,26.4,4,0,78.8
Jade Plant,sandy,large,seedling,13.9,30.6,91.4,944.4,9.1,38.1,1,0,74.0
Monstera,sandy,small,seedling,59.1,31.9,64.12163484217363,511.2,5.1,15.4,5,0,91.1
Areca Palm,sandy,small,seedling,64.7,34.6,56.6,543.2,7.0,69.7,3,0,94.9
Peace Lily,loamy,small,mature,77.5,27.5,87.4,352.2,4.8,26.0,5,0,97.2
Aloe Vera,sandy,small,young,12.1,15.6,63.8,931.0,9.2,44.1,1,0,85.9
Monstera,clay,large,mature,60.6,26.0,62.58127495189336,492.7,5.9,32.4,5,0,100.0
Peace Lily,sandy,large,mature,49.5,28.5,91.87492948314106,124.8,2.2,11.0,5,1,96.6
Peace Lily,loamy,small,young,55.8,36.8,68.77118581436997,465.3,4.5,9.0,3,0,88.0
Fern,sandy,large,mature,47.2,18.9,90.9,401.3,5.6,66.5,5,1,80.4
Money Plant,sandy,small,mature,40.2,32.7,43.5,491.7,5.2,35.9,4,0,100.0
Monstera,loamy,medium,young,59.5,20.6,81.5,187.9,2.2,34.9,4,0,97.0
Jade Plant,sandy,medium,mature,12.6,22.3,94.2,1056.4,7.6,37.1,1,0,81.1
Aloe Vera,clay,small,young,5.4,25.3,34.9,1118.5,9.8,30.1,1,1,100.0
Tulsi,clay,large,mature,54.1,22.2,78.4,563.7,5.4,35.8,4,0,95.9
Spider Plant,loamy,medium,seedling,14.6,19.9,49.7,552.9,7.0,48.4,2,1,82.9
Money Plant,sandy,medium,seedling,62.5,35.3,75.9,315.3,4.1,40.5,3,0,78.6
Monstera,sandy,medium,mature,75.9,25.4,83.81395240416012,295.0,2.5,28.4,5,0,100.0
Peace Lily,loamy,medium,seedling,63.1,19.6,61.36198881861771,541.2,4.9,37.4,3,0,96.5
Fern,sandy,medium,mature,67.0,22.3,80.78036294708454,452.9,4.0,35.3,4,0,100.0
Areca Palm,sandy,medium,young,55.1,30.5,93.6,488.8,6.6,43.0,4,0,97.7
Jade Plant,loamy,small,mature,19.1,16.2,58.6,1064.8,8.9,27.4,1,0,93.2
Aloe Vera,sandy,large,mature,12.6,17.5,26.3,507.2,6.6,29.5,1,0,92.7
Areca Palm,loamy,large,seedling,54.7,31.2,61.3,413.0,5.4,68.9,4,0,89.6
Fern,clay,large,young,71.7,30.5,85.7,291.5,3.9,20.1,5,0,98.0
Monstera,clay,large,seedling,64.0,30.9,92.67951311697803,382.0,5.2,8.8,5,0,91.8
Spider Plant,clay,medium,seedling,42.0,21.7,45.1,993.6,8.6,53.8,2,0,97.1
Fern,clay,large,mature,73.5,21.2,68.48603134436004,459.3,4.7,45.9,3,0,95.5
Spider Plant,clay,large,young,13.7,17.3,79.0,580.5,6.0,63.2,1,1,74.8
Aloe Vera,clay,medium,young,6.1,29.9,88.6,921.1,8.3,52.1,1,1,74.4
Tulsi,clay,small,seedling,52.5,37.9,52.8,577.8,6.9,63.1,4,0,75.1
Jade Plant,loamy,small,young,17.6,21.5,94.2,1163.1,8.0,61.3,1,0,84.7
Aloe Vera,sandy,medium,seedling,25.0,31.8,70.4,401.1,6.1,21.2,1,0,76.7
Aloe Vera,sandy,large,mature,19.7,35.6,82.9,500.8,6.3,13.3,1,1,71.4
Peace Lily,sandy,small,young,51.4,23.8,70.56810438920651,303.4,4.9,47.1,4,1,100.0
Money Plant,loamy,small,young,52.3,22.1,53.4,507.1,6.3,46.0,4,0,100.0
Peace Lily,loamy,small,seedling,59.9,37.0,73.07686946954277,573.8,4.8,54.5,5,0,83.0
Aloe Vera,sandy,large,mature,16.0,35.1,30.7,646.9,8.8,40.6,1,1,85.6
Fern,loamy,small,mature,78.8,27.3,64.06840077646325,216.6,2.8,6.5,4,0,100.0
Money Plant,clay,small,mature,56.3,24.6,64.5,517.0,6.4,28.5,4,0,100.0
Aloe Vera,loamy,small,seedling,17.0,24.7,74.0,568.3,6.2,71.0,1,0,84.7
Monstera,clay,small,seedling,68.5,32.6,93.5,434.6,5.6,66.0,4,0,88.8
Snake Plant,loamy,large,mature,19.1,18.1,85.2,518.4,6.6,16.0,2,1,95.0
Money Plant,clay,medium,mature,49.6,31.5,54.7,403.8,4.7,19.8,2,0,100.0
Snake Plant,sandy,large,young,50.4,29.1,90.5,330.3,5.0,2.4,1,0,100.0
Money Plant,sandy,large,seedling,42.7,24.3,41.4,598.0,4.4,16.9,2,0,100.0
Jade Plant,clay,large,mature,11.2,32.8,82.3,1191.4,9.5,37.5,1,0,84.1
Monstera,sandy,large,mature,67.3,35.2,88.8,168.9,2.2,46.3,4,0,88.8
Fern,clay,large,young,51.1,24.4,76.5731587144277,390.2,5.4,50.9,5,1,88.1
Money Plant,loamy,medium,young,43.1,27.8,34.4,323.7,5.0,32.4,2,0,98.7
Fern,loamy,small,seedling,66.7,21.2,72.2,517.3,5.0,40.2,3,0,99.8
Peace Lily,clay,small,seedling,48.7,36.6,92.3,511.1,4.8,28.6,4,1,77.4
Peace Lily,clay,medium,young,53.9,27.3,90.89841833267141,260.6,3.9,52.0,5,1,87.6
Peace Lily,sandy,medium,young,50.0,24.5,64.4,475.2,4.2,51.8,3,1,83.0
Aloe Vera,clay,small,young,19.5,28.1,42.2,802.5,9.8,55.0,1,0,99.9
Areca Palm,clay,small,mature,61.2,33.3,36.8,566.8,4.6,71.3,3,0,100.0
Fern,sandy,small,mature,47.2,16.1,68.10016872271059,302.7,4.8,36.4,5,1,88.7
Jade Plant,loamy,large,mature,5.4,36.0,71.1,846.8,8.1,1.2,1,1,77.2
Fern,clay,small,mature,76.7,33.7,72.2,129.8,2.4,13.8,3,0,100.0
Peace Lily,clay,medium,seedling,66.2,23.6,67.90500384195978,554.4,4.7,47.1,5,0,100.0
Money Plant,sandy,medium,young,58.1,23.7,58.3,450.0,4.5,31.2,4,0,100.0
Jade Plant,sandy,large,seedling,21.8,20.3,88.1,762.7,8.3,66.5,1,0,86.8
Monstera,loamy,large,mature,56.4,15.8,90.0,513.8,5.0,28.7,3,0,85.8
Tulsi,loamy,small,mature,67.4,34.2,52.2,521.9,5.2,56.9,3,0,100.0
Snake Plant,loamy,large,young,46.8,16.2,55.6,968.3,7.0,42.9,2,0,94.7
Peace Lily,sandy,large,young,51.3,33.0,92.9399995739754,235.9,3.7,47.6,5,1,95.9
Jade Plant,clay,small,mature,15.4,16.7,43.8,692.6,9.1,28.1,1,0,88.6
Snake Plant,sandy,medium,young,17.5,23.3,43.9,467.1,6.2,36.9,1,1,96.0
Snake Plant,clay,large,seedling,49.4,28.7,79.9,416.3,5.5,6.1,1,0,100.0
Aloe Vera,loamy,large,seedling,12.6,30.8,36.9,687.6,7.1,12.0,1,0,87.8
Monstera,clay,small,young,70.0,20.8,81.58340772125266,127.1,3.8,0.5,5,0,99.0
Jade Plant,clay,medium,young,30.1,22.7,82.1,681.7,9.9,23.1,1,0,89.5
Aloe Vera,clay,medium,seedling,12.5,37.2,92.8,894.6,8.8,41.5,1,1,62.4
Spider Plant,clay,medium,young,36.6,17.6,64.5,930.1,7.4,68.6,1,0,89.6
Aloe Vera,clay,medium,mature,28.2,16.6,84.3,683.5,8.7,21.8,1,0,72.5
Tulsi,loamy,medium,young,51.0,16.7,94.3,577.0,5.6,62.6,3,0,89.2
Money Plant,clay,large,mature,38.3,28.7,89.0,406.5,6.0,46.6,2,1,95.4
Spider Plant,clay,medium,seedling,33.8,15.2,43.1,417.3,6.2,55.6,1,0,80.9
Fern,sandy,medium,seedling,80.1,26.1,64.06242682856411,342.5,5.8,22.5,3,0,99.6
Aloe Vera,loamy,medium,young,23.0,26.0,55.7,780.2,7.3,58.3,1,0,96.2
Peace Lily,loamy,small,mature,70.5,33.4,90.1,212.0,2.6,69.0,5,0,97.3
Spider Plant,loamy,small,seedling,16.1,29.7,55.2,428.9,6.2,0.3,1,1,87.1
Monstera,loamy,small,mature,50.4,17.3,86.0,234.1,2.5,35.2,4,1,94.7
Peace Lily,loamy,medium,mature,58.0,24.0,81.60769377677488,511.8,5.3,21.4,4,0,100.0
Snake Plant,loamy,small,young,21.7,17.7,46.4,425.5,6.6,9.9,1,0,88.8
Tulsi,clay,large,mature,74.7,30.9,70.2,386.7,4.5,13.5,4,0,100.0
Jade Plant,sandy,medium,seedling,14.3,26.1,38.7,991.8,8.2,29.5,1,0,99.9
Areca Palm,clay,small,seedling,43.4,28.0,80.7,461.3,4.8,12.1,2,0,99.6
Areca Palm,loamy,large,seedling,54.5,28.2,43.8,527.0,5.6,54.7,3,0,99.4
Aloe Vera,clay,small,mature,13.0,34.1,77.6,869.8,10.0,25.1,1,1,88.2
Areca Palm,sandy,small,seedling,45.0,33.6,66.2,428.5,5.8,44.4,4,0,92.8
Aloe Vera,sandy,large,young,7.6,27.2,66.8,775.6,9.9,41.2,1,1,100.0
Fern,loamy,small,seedling,80.7,37.1,90.34666566518224,273.2,2.5,18.0,4,0,82.1
Aloe Vera,loamy,medium,young,21.0,18.3,69.3,645.3,7.5,57.2,1,0,100.0
Spider Plant,loamy,large,young,31.0,31.0,86.4,300.7,5.6,55.7,2,0,100.0
Areca Palm,loamy,large,mature,55.0,23.2,29.4,547.5,6.9,35.6,2,0,98.2
Monstera,clay,large,mature,75.1,18.0,86.67889078478757,225.2,2.2,60.2,5,0,95.2
Tulsi,clay,medium,seedling,72.9,37.8,54.9,390.6,6.6,63.0,2,0,83.8
Snake Plant,loamy,medium,young,38.4,16.9,71.5,391.7,6.0,50.4,1,0,87.3
Snake Plant,loamy,small,seedling,35.2,19.9,30.5,508.7,4.0,58.8,2,0,100.0
Spider Plant,loamy,small,young,42.9,16.6,51.8,410.3,4.5,21.5,1,0,88.8
Tulsi,loamy,large,seedling,57.6,16.6,64.4,516.7,5.3,45.2,2,0,76.5
Spider Plant,loamy,large,young,16.2,34.8,31.1,415.2,6.9,69.4,1,1,83.1
Tulsi,sandy,medium,mature,58.9,16.9,63.7,582.4,4.9,1.9,4,0,93.5
Monstera,sandy,large,mature,55.2,26.7,87.43305598517462,371.8,5.2,27.8,3,0,97.4
Jade Plant,sandy,large,seedling,7.4,37.7,90.4,941.0,9.4,26.3,1,1,66.8
Areca Palm,sandy,small,mature,34.7,16.6,43.4,419.4,6.8,20.6,2,1,92.1
Spider Plant,clay,large,young,38.1,16.9,62.6,323.7,4.4,66.3,2,0,94.7
Tulsi,loamy,medium,young,58.4,28.5,78.4,509.6,4.2,52.6,4,0,100.0
Money Plant,sandy,small,young,36.4,17.7,67.9,522.2,6.2,8.6,4,1,92.1
Money Plant,sandy,medium,young,59.1,27.0,79.8,524.9,5.1,62.9,2,0,100.0
Snake Plant,sandy,medium,young,43.2,21.3,29.5,453.2,6.5,4.0,1,0,100.0
Tulsi,clay,small,young,61.9,32.8,87.6,452.6,4.7,3.2,2,0,100.0
Aloe Vera,sandy,medium,young,28.0,23.8,35.5,931.7,9.4,65.8,1,0,100.0
Spider Plant,sandy,medium,seedling,22.2,24.6,75.4,335.8,6.9,48.5,1,0,95.5
Aloe Vera,loamy,small,young,11.1,16.6,57.6,796.4,9.4,39.8,1,0,85.1
Aloe Vera,clay,large,young,14.7,32.0,42.0,1198.7,9.9,55.9,1,0,100.0
Fern,sandy,small,seedling,66.7,36.4,89.38509024136609,585.3,5.5,0.1,5,0,81.6
Monstera,sandy,small,mature,77.6,37.6,84.9078366145036,284.3,2.4,64.6,3,0,90.2
Peace Lily,clay,large,seedling,68.8,28.4,62.61906695154571,430.5,4.3,69.4,4,0,97.4
Monstera,clay,medium,mature,61.8,34.1,62.61406025308679,256.0,2.8,42.1,3,0,96.6
Tulsi,clay,medium,young,71.7,24.3,62.5,439.0,5.4,61.4,2,0,95.9
Monstera,loamy,large,mature,58.0,15.9,84.8905089399789,418.9,5.9,3.5,3,0,88.0
Tulsi,sandy,medium,young,38.7,27.8,63.5,341.9,6.4,0.9,2,1,100.0
Aloe Vera,sandy,small,young,19.1,23.6,69.1,755.3,8.3,58.5,1,0,95.2
Snake Plant,sandy,large,young,48.7,33.6,31.4,582.7,4.6,3.6,2,0,100.0
Spider Plant,loamy,medium,young,20.3,15.7,72.8,765.0,8.5,32.1,1,0,86.5
Jade Plant,loamy,large,seedling,30.4,29.9,59.9,652.6,7.9,27.6,1,0,89.2
Fern,sandy,large,mature,73.8,33.3,94.3,403.2,5.1,40.7,4,0,98.2
Monstera,sandy,small,young,72.5,28.7,62.05069305973415,458.8,6.0,55.2,4,0,100.0
Tulsi,sandy,small,mature,65.2,20.5,62.4,598.9,4.2,15.8,4,0,100.0
Spider Plant,clay,small,seedling,42.7,20.4,47.3,616.9,8.6,50.4,2,0,100.0
Jade Plant,sandy,large,seedling,33.9,34.2,81.7,705.3,8.2,2.7,1,1,70.6
Jade Plant,sandy,small,mature,22.3,26.0,48.2,804.5,9.2,12.8,1,0,100.0
Peace Lily,sandy,small,seedling,69.9,28.5,90.12343133070428,412.1,5.8,67.8,5,0,99.0
Snake Plant,clay,medium,young,50.9,18.1,36.0,704.5,7.2,69.7,2,0,100.0
Jade Plant,clay,small,mature,12.3,28.5,37.3,676.4,8.8,52.5,1,0,100.0
Jade Plant,clay,large,seedling,29.1,19.2,47.3,983.8,8.4,7.5,1,0,100.0
Peace Lily,loamy,small,seedling,69.0,23.0,88.75816318999084,518.8,4.7,24.2,3,0,95.1
Aloe Vera,sandy,large,seedling,24.8,23.1,80.1,431.5,6.2,30.2,1,0,81.7
Spider Plant,clay,medium,young,32.4,27.6,32.1,322.1,4.8,60.9,1,0,97.9
Peace Lily,clay,small,seedling,49.9,22.9,87.2,327.9,5.6,42.8,3,1,100.0
Areca Palm,loamy,small,young,66.4,36.7,36.5,399.3,4.2,70.2,2,0,89.1
Fern,loamy,large,mature,54.3,21.1,73.75157751151878,447.3,4.2,3.9,3,1,95.0
Snake Plant,clay,large,mature,15.2,28.8,39.0,1186.2,7.2,34.1,1,1,96.2
Spider Plant,clay,medium,mature,29.5,21.1,69.9,821.6,8.4,32.1,2,0,97.6
Areca Palm,clay,small,young,61.5,28.0,35.6,403.1,4.3,39.0,2,0,100.0
Jade Plant,sandy,large,seedling,15.5,34.3,82.3,1120.1,8.1,34.2,1,1,78.8
