moisture,temp,humidity,light,plant_type,plant_type_encoded,water_needed,health_score
69.75,23.68,55.2,473.54,Rose,0,0,83.94
43.89,22.1,68.98,672.81,Rose,0,1,37.16
25.64,28.89,40.78,827.61,Cactus,1,0,69.44
6.04,33.38,32.19,847.85,Cactus,1,1,51.92
15.95,29.23,51.56,516.52,Rose,0,1,51.16
9.81,37.27,22.96,709.78,Cactus,1,1,35.91
39.47,20.69,56.71,514.79,Rose,0,1,51.21
28.82,20.1,82.96,225.91,Fern,2,1,54.52
14.56,34.16,35.38,631.72,Cactus,1,0,87.52
33.02,25.98,55.26,665.76,Rose,0,1,45.02
33.51,29.77,68.95,403.92,Rose,0,1,51.55
66.03,25.59,69.01,514.31,Rose,0,0,77.41
62.32,29.68,61.79,656.82,Rose,0,0,87.85
70.42,27.4,61.9,548.83,Rose,0,0,93.29
34.91,29.24,71.98,385.98,Rose,0,1,33.67
62.0,26.0,72.0,420.0,Fern,2,0,83.0
27.79,23.42,54.91,617.92,Rose,0,1,52.48
76.83,26.39,64.82,157.49,Fern,2,0,87.77
23.63,39.82,22.45,785.53,Cactus,1,0,70.11
84.51,24.57,81.26,152.51,Fern,2,0,84.37
21.64,29.85,78.32,315.77,Rose,0,1,51.91
11.01,28.88,42.66,652.91,Cactus,1,0,78.41
80.0,22.0,80.0,230.0,Fern,2,0,91.0
84.09,27.3,78.18,657.93,Rose,0,0,89.37
13.55,33.74,41.0,745.86,Cactus,1,0,79.65
32.82,21.3,76.93,405.17,Fern,2,1,33.87
10.07,40.24,32.34,866.86,Cactus,1,1,53.8
48.03,24.89,84.7,316.86,Fern,2,1,54.65
89.05,20.42,70.63,181.6,Fern,2,0,84.91
21.04,21.92,80.91,208.03,Fern,2,1,46.18
81.85,20.74,74.64,174.68,Fern,2,0,88.46
23.96,28.84,34.06,963.9,Cactus,1,0,70.78
7.7,41.53,33.94,731.97,Cactus,1,1,41.07
6.02,33.04,26.76,920.23,Cactus,1,1,32.8
23.17,18.22,77.43,347.1,Rose,0,1,48.27
79.02,24.08,67.36,167.32,Fern,2,0,86.94
19.6,25.03,65.18,544.58,Rose,0,1,30.98
44.97,26.06,66.73,217.82,Fern,2,1,55.4
38.7,38.33,28.83,712.68,Cactus,1,0,76.61
25.91,28.59,44.21,903.51,Cactus,1,0,73.91
44.6,18.42,74.94,356.79,Fern,2,1,37.26
77.72,24.62,82.54,376.16,Fern,2,0,90.17
10.8,35.23,38.97,707.35,Cactus,1,1,34.71
30.52,21.63,84.17,248.45,Fern,2,1,33.77
23.55,18.0,81.36,256.98,Fern,2,1,34.18
31.85,25.28,70.37,351.33,Fern,2,1,53.05
73.48,25.62,51.36,449.85,Rose,0,0,88.86
80.69,27.91,82.7,282.69,Fern,2,0,92.8
12.54,38.03,21.8,627.08,Cactus,1,0,65.56
15.58,39.24,31.45,783.53,Cactus,1,0,68.9
22.42,27.4,82.65,325.99,Fern,2,1,52.37
83.16,27.77,63.06,152.5,Fern,2,0,88.12
73.31,27.14,88.58,248.02,Fern,2,0,85.71
23.41,34.45,41.61,807.73,Cactus,1,0,75.85
22.08,18.88,55.09,507.91,Rose,0,1,40.92
28.64,24.19,64.67,566.75,Rose,0,1,35.99
38.98,26.34,58.16,536.09,Rose,0,1,44.18
12.87,28.33,36.05,830.7,Cactus,1,0,78.95
34.65,34.43,28.94,787.8,Cactus,1,0,88.17
8.0,37.05,44.35,921.88,Cactus,1,1,24.41
84.02,22.23,70.4,269.28,Fern,2,0,85.16
81.65,25.43,82.14,306.43,Fern,2,0,81.4
8.6,41.4,32.51,764.44,Cactus,1,1,37.52
29.24,28.13,74.17,534.14,Rose,0,1,57.93
88.69,25.39,60.41,224.51,Fern,2,0,84.73
55.92,18.45,74.68,444.08,Rose,0,0,77.13
82.0,22.0,82.0,220.0,Fern,2,0,92.0
26.49,24.23,51.41,366.51,Rose,0,1,53.62
87.49,27.06,60.36,352.21,Fern,2,0,81.68
87.18,26.43,74.55,250.09,Fern,2,0,94.97
49.35,19.81,83.97,250.26,Fern,2,1,53.29
85.26,19.52,73.75,255.37,Fern,2,0,82.21
82.92,28.3,62.87,600.35,Rose,0,0,92.38
59.93,27.77,69.96,509.23,Rose,0,0,82.17
39.09,18.06,60.0,459.27,Rose,0,1,49.48
36.71,29.11,38.29,671.22,Cactus,1,0,89.13
55.79,22.52,74.32,694.91,Rose,0,0,77.59
42.25,25.0,62.03,484.8,Rose,0,1,62.26
83.34,28.2,57.42,480.22,Rose,0,0,79.92
31.79,20.37,62.91,203.71,Fern,2,1,52.79
33.79,19.57,50.98,668.34,Rose,0,1,51.07
34.16,22.77,58.23,693.59,Rose,0,1,44.9
24.76,27.28,53.93,687.93,Rose,0,1,44.83
87.33,23.25,83.26,220.33,Fern,2,0,86.94
29.86,26.26,63.04,398.56,Rose,0,1,56.55
41.24,24.35,78.17,619.51,Rose,0,1,63.62
32.66,29.79,40.65,897.17,Cactus,1,0,84.98
55.6,21.86,56.34,431.0,Rose,0,0,76.96
68.17,19.65,60.06,365.62,Fern,2,0,92.0
8.49,29.55,40.21,960.12,Cactus,1,1,25.94
47.95,26.21,77.0,347.11,Fern,2,1,58.44
5.44,29.72,33.97,730.4,Cactus,1,1,45.19
28.02,35.22,42.98,788.85,Cactus,1,0,91.61
37.42,27.36,80.17,294.38,Fern,2,1,54.02
22.3,18.04,80.11,342.55,Fern,2,1,38.99
79.82,20.88,69.2,255.89,Fern,2,0,91.17
13.22,40.01,42.92,763.77,Cactus,1,1,34.05
59.16,25.69,55.46,438.27,Rose,0,0,92.85
42.27,18.25,70.64,384.06,Fern,2,1,46.88
29.1,27.33,63.56,430.12,Fern,2,1,48.75
21.18,20.72,60.19,443.51,Fern,2,1,56.58
31.27,29.5,34.18,697.49,Cactus,1,0,91.2
82.89,27.97,78.95,349.72,Rose,0,0,91.91
69.81,24.27,62.83,310.17,Rose,0,0,78.14
7.68,39.7,20.37,744.06,Cactus,1,1,33.77
13.07,29.68,26.64,606.67,Cactus,1,1,33.26
72.22,18.15,88.95,225.27,Fern,2,0,91.39
20.6,31.32,39.51,704.43,Cactus,1,0,86.63
48.03,27.16,79.06,338.95,Fern,2,1,42.61
58.54,26.36,68.87,650.99,Rose,0,0,89.56
41.91,21.65,79.23,289.85,Fern,2,1,34.86
10.91,37.25,21.96,806.91,Cactus,1,1,45.42
21.0,20.01,53.14,554.57,Rose,0,1,51.84
30.67,40.23,35.91,889.23,Cactus,1,0,71.07
6.67,38.93,34.59,961.84,Cactus,1,1,24.77
79.22,28.75,59.54,344.02,Rose,0,0,81.48
19.19,36.73,33.18,761.91,Cactus,1,0,69.19
31.99,36.62,24.7,735.05,Cactus,1,0,86.79
36.12,31.34,31.28,974.3,Cactus,1,0,86.91
70.7,26.63,86.58,209.0,Fern,2,0,92.34
12.47,34.63,21.45,963.96,Cactus,1,1,52.65
80.42,19.43,71.24,389.32,Fern,2,0,86.66
52.0,27.0,61.0,490.0,Rose,0,0,79.0
17.28,28.21,64.85,492.23,Rose,0,1,47.86
44.1,19.13,70.18,477.5,Rose,0,1,60.16
74.8,27.81,66.66,511.86,Rose,0,0,81.32
39.54,27.99,65.22,302.55,Rose,0,1,42.04
26.44,18.67,77.85,371.66,Fern,2,1,27.5
16.36,36.55,30.28,919.15,Cactus,1,0,88.14
35.43,18.85,76.47,263.99,Fern,2,1,47.24
58.66,23.94,51.03,663.73,Rose,0,0,80.04
49.65,27.77,83.81,347.83,Fern,2,1,48.44
46.05,27.26,72.59,165.19,Fern,2,1,30.67
46.0,29.0,56.0,530.0,Rose,0,0,74.0
20.31,26.31,75.14,677.85,Rose,0,1,51.04
20.06,30.43,37.8,913.87,Cactus,1,0,68.52
48.0,28.0,58.0,510.0,Rose,0,0,76.0
84.08,24.1,69.39,231.33,Fern,2,0,91.17
21.8,19.31,78.18,404.83,Fern,2,1,27.21
85.64,24.24,82.87,161.68,Fern,2,0,95.63
69.06,27.68,73.4,300.46,Fern,2,0,83.35
35.07,25.31,88.74,216.13,Fern,2,1,56.12
76.87,27.26,52.22,443.39,Rose,0,0,79.0
90.0,21.0,85.0,180.0,Fern,2,0,94.0
50.0,28.0,60.0,500.0,Rose,0,0,78.0
13.39,28.05,26.17,881.54,Cactus,1,1,34.0
17.22,29.7,24.94,937.03,Cactus,1,0,81.87
17.7,31.99,27.68,905.15,Cactus,1,0,79.25
26.2,39.79,33.02,836.96,Cactus,1,0,68.85
15.94,35.91,31.6,969.36,Cactus,1,0,80.81
19.34,36.54,37.9,703.6,Cactus,1,0,76.27
40.76,22.58,66.8,334.19,Fern,2,1,36.71
11.25,29.0,37.07,691.93,Cactus,1,1,45.61
10.11,28.66,26.9,868.65,Cactus,1,1,25.9
70.74,24.64,72.34,270.72,Fern,2,0,95.0
39.0,30.0,49.0,660.0,Rose,0,1,67.0
74.26,19.01,54.85,659.42,Rose,0,0,88.55
12.42,38.19,32.41,766.0,Cactus,1,0,83.48
71.48,26.58,69.81,411.97,Rose,0,0,95.24
13.7,29.83,39.76,647.43,Cactus,1,1,48.38
27.44,19.02,79.91,500.88,Rose,0,1,49.48
42.57,23.31,80.32,278.54,Fern,2,1,52.29
12.12,41.74,34.24,698.63,Cactus,1,1,37.43
28.41,19.32,73.2,343.19,Fern,2,1,38.95
74.88,21.74,65.6,518.68,Rose,0,0,80.18
65.81,27.61,80.04,429.96,Fern,2,0,83.36
41.2,28.81,62.65,410.73,Rose,0,1,51.45
81.81,27.73,73.95,404.22,Fern,2,0,81.3
5.76,31.85,40.17,774.67,Cactus,1,1,39.76
8.46,30.16,20.64,845.41,Cactus,1,1,42.88
75.33,18.2,65.36,390.6,Rose,0,0,89.44
68.42,24.39,57.27,407.7,Rose,0,0,83.39
46.87,27.09,69.42,357.32,Fern,2,1,38.22
70.01,24.64,86.45,394.24,Fern,2,0,91.33
84.28,24.2,59.69,618.07,Rose,0,0,82.84
8.88,37.44,26.5,731.17,Cactus,1,1,51.36
66.58,29.53,77.16,378.32,Rose,0,0,77.05
19.74,38.32,31.9,742.84,Cactus,1,0,75.84
58.09,28.83,65.16,630.58,Rose,0,0,81.21
81.7,22.06,61.27,337.59,Rose,0,0,88.74
60.2,28.76,52.41,509.8,Rose,0,0,83.23
77.14,24.65,68.35,467.84,Rose,0,0,81.67
66.24,29.41,71.96,539.46,Rose,0,0,78.74
68.88,21.62,72.43,501.09,Rose,0,0,80.53
79.28,27.72,76.01,665.3,Rose,0,0,87.15
73.0,24.0,67.0,450.0,Rose,0,0,88.0
12.51,28.99,22.0,734.81,Cactus,1,1,52.63
11.03,39.57,44.6,709.59,Cactus,1,1,52.99
37.0,31.0,47.0,650.0,Rose,0,1,66.0
73.4,23.02,77.98,646.43,Rose,0,0,77.24
12.85,41.88,33.61,965.85,Cactus,1,1,26.7
78.05,26.38,70.84,407.94,Fern,2,0,87.13
11.66,41.52,39.03,961.29,Cactus,1,1,45.33
73.72,26.98,86.64,247.59,Fern,2,0,95.59
72.52,25.98,69.79,239.82,Fern,2,0,83.44
79.94,23.03,65.82,407.65,Fern,2,0,92.18
36.92,23.0,62.08,176.96,Fern,2,1,47.27
88.74,20.43,76.72,161.69,Fern,2,0,92.88
13.28,37.76,37.86,775.45,Cactus,1,1,52.12
89.42,26.17,82.71,166.68,Fern,2,0,81.07
11.06,33.1,25.45,975.45,Cactus,1,1,37.78
85.78,21.98,84.83,201.21,Fern,2,0,81.13
20.77,24.04,79.79,356.41,Fern,2,1,29.47
23.85,28.13,26.17,876.06,Cactus,1,0,91.18
63.69,19.93,77.89,623.25,Rose,0,0,88.04
84.72,22.95,61.16,610.57,Rose,0,0,84.29
32.7,35.27,25.12,933.58,Cactus,1,0,89.26
43.12,26.25,52.04,420.39,Rose,0,1,55.21
88.89,25.39,68.32,234.48,Fern,2,0,98.23
41.01,24.94,63.16,590.1,Rose,0,1,48.25
33.48,20.8,50.73,648.04,Rose,0,1,33.16
69.33,24.74,65.38,358.18,Fern,2,0,83.07
68.98,27.73,82.78,440.33,Fern,2,0,86.81
19.68,26.59,69.77,310.84,Rose,0,1,37.11
15.33,19.64,77.0,649.56,Rose,0,1,47.72
67.28,24.07,86.43,414.87,Fern,2,0,90.59
7.95,29.91,36.29,880.67,Cactus,1,1,33.16
69.22,26.01,55.17,376.92,Rose,0,0,76.74
74.02,25.33,72.14,170.51,Fern,2,0,93.51
85.3,26.03,75.54,192.1,Fern,2,0,92.61
81.99,22.61,66.31,662.59,Rose,0,0,89.68
35.86,40.92,32.18,830.38,Cactus,1,0,86.71
74.23,23.28,66.35,448.69,Fern,2,0,97.08
22.95,27.57,77.98,368.6,Fern,2,1,36.03
19.5,20.75,71.67,588.01,Rose,0,1,49.66
12.66,31.09,34.96,879.55,Cactus,1,0,90.22
10.21,41.66,23.14,606.44,Cactus,1,1,47.14
48.52,18.22,89.48,175.84,Fern,2,1,55.84
58.53,25.79,72.38,533.35,Rose,0,0,94.1
8.32,37.71,39.28,848.77,Cactus,1,1,28.3
34.35,23.86,76.24,175.81,Fern,2,1,29.48
6.6,28.33,38.91,774.24,Cactus,1,1,32.17
41.12,23.34,65.44,443.69,Rose,0,1,51.46
10.82,33.2,35.03,868.12,Cactus,1,1,44.78
32.08,23.2,89.9,190.57,Fern,2,1,48.93
34.11,35.07,44.18,758.75,Cactus,1,0,92.01
78.84,24.03,67.31,497.01,Rose,0,0,80.79
33.26,24.48,61.84,394.12,Fern,2,1,57.59
79.38,19.15,78.17,185.16,Fern,2,0,86.01
14.0,29.63,43.9,719.31,Cactus,1,1,51.25
68.77,29.76,64.78,431.5,Rose,0,0,88.55
56.18,27.59,68.84,332.7,Rose,0,0,92.09
72.74,26.03,89.92,159.01,Fern,2,0,95.43
83.36,22.08,60.46,324.88,Fern,2,0,84.89
65.6,25.0,52.33,689.76,Rose,0,0,95.28
57.61,24.45,67.61,598.18,Rose,0,0,83.39
42.37,20.53,68.69,552.62,Rose,0,1,55.85
21.93,26.06,50.59,341.64,Rose,0,1,54.79
78.31,24.7,62.73,662.54,Rose,0,0,79.06
78.0,23.0,75.0,350.0,Fern,2,0,89.0
13.67,31.95,43.76,821.02,Cactus,1,1,37.65
32.78,34.3,39.42,624.84,Cactus,1,0,79.47
79.1,21.38,55.32,600.25,Rose,0,0,93.05
20.01,20.01,51.1,594.56,Rose,0,1,50.42
79.46,21.57,70.61,398.57,Fern,2,0,94.15
23.16,23.86,76.33,220.12,Fern,2,1,46.38
41.66,29.47,75.86,623.81,Rose,0,1,53.41
82.03,18.55,58.43,680.16,Rose,0,0,95.01
15.25,35.04,29.97,655.62,Cactus,1,0,74.71
7.3,28.02,38.23,967.4,Cactus,1,1,30.32
78.77,23.01,61.51,160.47,Fern,2,0,89.8
39.04,32.14,39.23,837.37,Cactus,1,0,77.45
21.86,18.71,77.22,319.81,Fern,2,1,53.88
22.41,22.77,78.9,398.6,Fern,2,1,50.93
63.83,22.62,75.53,426.77,Rose,0,0,78.77
8.03,28.92,25.71,693.71,Cactus,1,1,38.23
80.89,25.48,59.93,325.42,Rose,0,0,83.31
21.79,24.04,82.91,307.02,Fern,2,1,33.02
57.55,29.84,61.23,448.26,Rose,0,0,91.01
39.4,36.43,34.56,884.27,Cactus,1,0,88.23
38.82,25.44,66.0,657.56,Rose,0,1,56.98
66.86,22.74,76.82,338.53,Fern,2,0,91.08
25.57,28.95,40.01,688.81,Cactus,1,0,80.06
11.45,33.53,37.83,675.7,Cactus,1,1,50.92
37.16,26.05,82.8,196.17,Fern,2,1,32.85
58.0,27.0,70.0,300.0,Fern,2,0,82.0
17.04,33.59,23.81,977.14,Cactus,1,0,88.88
85.0,22.0,80.0,200.0,Fern,2,0,91.0
7.77,41.6,28.28,783.18,Cactus,1,1,29.55
23.7,23.19,67.38,257.44,Fern,2,1,57.72
25.56,23.41,79.37,163.68,Fern,2,1,56.6
33.28,18.48,84.61,397.9,Fern,2,1,46.31
38.9,35.84,43.42,619.86,Cactus,1,0,78.36
66.8,24.48,62.22,262.64,Fern,2,0,93.15
83.15,20.17,51.99,596.45,Rose,0,0,88.8
7.91,34.58,42.25,868.93,Cactus,1,1,25.55
8.25,37.98,40.42,669.01,Cactus,1,1,34.87
7.87,33.15,21.45,642.37,Cactus,1,1,39.16
76.4,28.74,65.35,512.85,Rose,0,0,78.78
6.09,39.96,30.98,921.85,Cactus,1,1,50.21
60.54,20.51,61.11,493.81,Rose,0,0,87.42
34.5,21.83,85.17,193.6,Fern,2,1,43.86
30.23,27.17,72.2,192.98,Fern,2,1,49.91
21.42,40.29,41.7,906.25,Cactus,1,0,85.89
29.92,25.41,76.07,528.24,Rose,0,1,32.9
18.95,26.59,77.27,371.87,Rose,0,1,37.47
32.01,26.86,76.36,461.66,Rose,0,1,42.11
59.88,28.93,74.68,679.92,Rose,0,0,89.5
77.18,19.83,85.65,414.77,Fern,2,0,88.11
39.74,22.17,70.34,526.29,Rose,0,1,41.47
21.96,36.12,33.34,831.0,Cactus,1,0,85.32
69.18,18.83,74.54,240.73,Fern,2,0,89.06
86.5,20.72,80.77,229.22,Fern,2,0,97.55
12.81,36.1,23.67,908.23,Cactus,1,1,43.5
29.0,23.96,73.02,199.32,Fern,2,1,30.58
22.3,21.55,76.52,270.96,Fern,2,1,52.52
64.58,29.4,78.52,529.38,Rose,0,0,88.09
31.86,19.82,64.7,398.19,Fern,2,1,28.62
39.91,27.65,61.51,417.12,Fern,2,1,46.95
31.53,19.04,62.25,449.08,Rose,0,1,40.02
6.03,35.19,32.72,740.33,Cactus,1,1,51.39
19.18,28.02,79.53,510.28,Rose,0,1,35.53
38.15,40.2,39.15,899.61,Cactus,1,0,84.44
69.94,26.26,68.57,428.14,Fern,2,0,96.45
73.27,26.22,61.71,275.58,Fern,2,0,87.58
38.9,23.78,53.52,350.07,Rose,0,1,53.9
85.25,27.08,82.76,329.15,Fern,2,0,92.3
34.57,35.57,37.76,719.45,Cactus,1,0,79.24
82.02,20.48,81.16,278.28,Fern,2,0,88.17
9.88,29.09,30.19,754.7,Cactus,1,1,25.96
14.0,39.0,23.0,960.0,Cactus,1,1,35.0
65.0,25.0,69.0,410.0,Fern,2,0,84.0
29.81,38.7,26.63,607.96,Cactus,1,0,69.04
11.11,31.93,25.17,796.3,Cactus,1,1,24.33
27.4,35.86,34.02,829.33,Cactus,1,0,83.65
71.32,20.2,88.8,334.89,Fern,2,0,89.16
11.95,38.21,41.54,704.15,Cactus,1,1,48.5
43.53,19.81,62.97,677.45,Rose,0,1,46.62
10.54,35.58,39.05,916.79,Cactus,1,1,37.29
37.09,29.21,77.77,480.34,Rose,0,1,36.46
10.94,29.02,35.56,972.85,Cactus,1,1,29.84
25.99,22.75,70.86,455.42,Rose,0,1,44.86
11.36,40.79,35.31,932.01,Cactus,1,1,45.92
40.27,21.96,82.69,286.26,Fern,2,1,41.73
78.56,20.4,65.43,536.97,Rose,0,0,77.78
20.22,22.75,72.75,578.41,Rose,0,1,35.15
32.4,19.1,76.32,406.24,Rose,0,1,36.25
11.81,41.08,28.79,638.54,Cactus,1,0,77.33
35.11,31.91,36.07,863.78,Cactus,1,0,80.33
36.7,23.95,52.43,388.07,Rose,0,1,53.5
40.14,20.71,62.44,447.77,Fern,2,1,33.52
21.62,18.99,70.41,561.8,Rose,0,1,38.94
70.37,22.18,82.53,180.41,Fern,2,0,84.04
44.0,29.0,55.0,540.0,Rose,0,1,71.0
25.52,34.16,23.69,724.71,Cactus,1,0,77.4
56.08,23.59,66.28,414.62,Rose,0,0,86.42
55.36,29.64,51.29,656.46,Rose,0,0,85.09
32.53,19.16,78.38,431.54,Fern,2,1,48.56
